program,threads,steps,size,time(s)
omp,1,100,100,0.023784
omp,1,1000,100,0.151429
omp,1,10000,100,1.296468
omp,1,100000,100,12.819621
omp,1,100,1000,1.667607
omp,1,1000,1000,14.936403
omp,1,10000,1000,135.606736
omp,1,100000,1000,1331.956969
omp,1,100,2000,6.344592
omp,1,1000,2000,59.242891
omp,1,10000,2000,583.12579
omp,1,100000,2000,5374.222172
omp,2,100,100,0.014906
omp,2,1000,100,0.08076
omp,2,10000,100,0.691538
omp,2,100000,100,6.75271
omp,2,100,1000,1.007961
omp,2,1000,1000,7.899948
omp,2,10000,1000,70.097145
omp,2,100000,1000,687.403504
omp,2,100,2000,3.766311
omp,2,1000,2000,31.113219
omp,2,10000,2000,300.843573
omp,2,100000,2000,2820.720803
omp,4,100,100,0.010339
omp,4,1000,100,0.047042
omp,4,10000,100,0.375628
omp,4,100000,100,3.657432
omp,4,100,1000,0.621634
omp,4,1000,1000,4.287486
omp,4,10000,1000,36.68247
omp,4,100000,1000,358.492834
omp,4,100,2000,2.432052
omp,4,1000,2000,16.738927
omp,4,10000,2000,157.136858
omp,4,100000,2000,1440.691108
omp,8,100,100,0.015886
omp,8,1000,100,0.08615
omp,8,10000,100,0.765333
omp,8,100000,100,7.254863
omp,8,100,1000,0.670591
omp,8,1000,1000,4.538504
omp,8,10000,1000,39.480683
omp,8,100000,1000,377.120077
omp,8,100,2000,2.452237
omp,8,1000,2000,17.468413
omp,8,10000,2000,166.913589
omp,8,100000,2000,1493.628449
